user_input,reference_contexts,reference,synthesizer_name
Wut percent of the global adult population is represented by ChatGPT users?,"['Introduction\nChatGPT launched in November 2022. By July 2025, 18 billion messages were being sent each week\nby 700 million users, representing around 10% of the global adult population.1 For a new technology,\nthis speed of global diffusion has no precedent (Bick et al., 2024).\nThis paper studies consumer usage of ChatGPT, the first mass-market chatbot and likely the\nlargest.2 ChatGPT is based on a Large Language Model (LLM), a type of Artificial Intelligence (AI)\ndeveloped over the last decade and generally considered to represent an acceleration in AI capabilities.3\nThe sudden growth in LLM abilities and adoption has intensified interest in the effects of artificial\nintelligence on economic growth (Acemoglu, 2024; Korinek and Suh, 2024); employment (Eloundou\net al., 2025); and society (Kulveit et al., 2025). However, despite the rapid adoption of LLMs, there\nis limited public information on how they are used. A number of surveys have measured self-reported\nadoption of LLMs (Bick et al., 2024; Pew Research Center, 2025); however there are reasons to expect\nbias in self-reports (Ling and Imas, 2025), and none of these papers have been able to directly track\nthe quantity or nature of chatbot conversations.\nTwo recent papers do report statistics on chatbot conversations, classified in a variety of ways\n(Handa et al., 2025; Tomlinson et al., 2025). We build on this work in several respects. First, the pool\nof users on ChatGPT is far larger, meaning we expect our data to be a closer approximation to the\naverage chatbot user.4 Second, we use automated classifiers to report on the types of messages that\nusers send using new classification taxonomies relative to the existing literature. Third, we report the\ndiffusion of chatbot use across populations and the growth of different types of usage within cohorts.\nFourth, we use a secure data clean room protocol to analyze aggregated employment and education\ncategories for a sample of our users, lending new insights about differences in the types of messages\nsent by different groups while protecting user privacy.\nOur primary sample is a random selection of messages sent to ChatGPT on consumer plans (Free,\nPlus, Pro) between May 2024 and June 2025.5\nMessages from the user to chatbot are classified\nautomatically using a number of different taxonomies: whether the message is used for paid work,\nthe topic of conversation, and the type of interaction (asking, doing, or expressing), and the O*NET\ntask the user is performing. Each taxonomy is defined in a prompt passed to an LLM, allowing us to\nclassify messages without any human seeing them. We give the text of most prompts in Appendix A\nalong with details about how the prompts were validated in Appendix B.6 The classification pipeline is\nprotected by a series of privacy measures, detailed below, to ensure no leakage of sensitive information\nduring the automated analysis. In a secure data clean room, we relate taxonomies of messages to\naggregated employment and education categories.\nTable 1 shows the growth in total message volume for work and non-work usage. Both types of\n1Reuters (2025), Roth (2025)\n2Bick et al. (2024) report that 28% of US adults used ChatGPT in late 2024, higher than any other chatbot.\n3We use the term LLM loosely here and give more details in the following section.\n4Wiggers (2025) reports estimates that in April 2025 ChatGPT was receiving more than 10 times as many visitors\nas either Claude or Copilot.\n5Our sample includes the three consumer plans (Free, Plus, or Pro). OpenAI also offers a variety of other ChatGPT\nplans (Business fka. Teams, Enterprise, Education), which we do not include in our sample.\n6Our classifiers take into account not just the randomly-selected user message, but also a portion of the preceding\nmessages in that conversation.\n1']",ChatGPT users represent around 10% of the global adult population.,single_hop_specific_query_synthesizer
"What are the projected message counts for ChatGPT in June 2025, and how do they compare to June 2024?","['Month\nNon-Work (M)\n(%)\nWork (M)\n(%)\nTotal Messages (M)\nJun 2024\n238\n53%\n213\n47%\n451\nJun 2025\n1,911\n73%\n716\n27%\n2,627\n Table 1: ChatGPT daily message counts (millions), broken down by likely work-related or non-work-related.\nTotal daily counts are exact measurements of message volume from all consumer plans. Daily counts of work\nand non-work related messages are estimated by classifying a random sample of conversations from that day.\nSampling is done to exclude users who opt-out of sharing their messages for model training, users who self-\nreport their age as under 18, logged-out users, deleted conversations, and accounts which have been deactivated\nor banned (details available in Section 3). Reported values are 7-day averages (to smooth weekly fluctuation)\nending on the 26th of June 2024 and 26th of June 2025.\nmessages have grown continuously, but non-work messages have grown faster and now represent more\nthan 70% of all consumer ChatGPT messages. While most economic analysis of AI has focused on its\nimpact on productivity in paid work, the impact on activity outside of work (home production) is on a\nsimilar scale and possibly larger. The decrease in the share of work-related messages is primarily due to\nchanging usage within each cohort of users rather than a change in the composition of new ChatGPT\nusers. This finding is consistent with Collis and Brynjolfsson (2025), who use choice experiments to\nuncover willingness-to-pay for generative AI and estimate a consumer surplus of at least $97 billion\nin 2024 alone in the US.\nWe next report on a classification of messages using a taxonomy developed at OpenAI for un-\nderstanding product usage (“conversation classifier”). Nearly 80% of all ChatGPT usage falls into\nthree broad categories, which we call  Practical Guidance,  Seeking Information, and ']","In June 2025, the projected message counts for ChatGPT are 1,911 million for non-work messages, which represent 73% of the total, and 716 million for work messages, representing 27% of the total. This totals 2,627 million messages. In comparison, in June 2024, the counts were 238 million non-work messages (53%) and 213 million work messages (47%), totaling 451 million messages.",single_hop_specific_query_synthesizer
How might users inquire about the Boston Marathon in the context of seeking information?,"['Writing. Practical\nGuidance is the most common use case and includes activities like tutoring and teaching, how-to\nadvice about a variety of topics, and creative ideation.7 Seeking Information includes searching for\ninformation about people, current events, products, and recipes, and appears to be a very close sub-\nstitute for web search. Writing includes the automated production of emails, documents and other\ncommunications, but also editing, critiquing, summarizing, and translating text provided by the user.\nWriting is the most common use case at work, accounting for 40% of work-related messages on average\nin June 2025. About two-thirds of all Writing messages ask ChatGPT to modify user text (editing,\ncritiquing, translating, etc.) rather than creating new text from scratch. About 10% of all messages\nare requests for tutoring or teaching, suggesting that education is a key use case for ChatGPT.\nTwo of our findings stand in contrast to other work. First, we find the share of messages related\nto computer coding is relatively small: only 4.2% of ChatGPT messages are related to computer\nprogramming, compared to 33% of work-related Claude conversations Handa et al. (2025).8 Second, we\nfind the share of messages related to companionship or social-emotional issues is fairly small: only 1.9%\nof ChatGPT messages are on the topic of Relationships and Personal Reflection and 0.4% are related\n7The difference between Practical Guidance and Seeking Information is that the former is highly customized to the\nuser and can be adapted based on conversation and follow-up, whereas the latter is factual information that should be\nthe same for all users. For example, users interested in running might ask ChatGPT for the Boston Marathon qualifying\ntimes by age and gender (Seeking Information), or they might ask for a customized workout plan that matches their\ngoals and current level of fitness (Practical Guidance).\n8Handa et al. (2025) report that 37% of conversations are mapped to a “computer and mathematical” occupation\ncategory, and their Figure 12 shows 30% or more of all imputed tasks are programming or IT-related. We believe the\ndiscrepancy is partly due to the difference in types of users between Claude and ChatGPT, additionally Handa et al.\n(2025) only includes queries that ”possibly involve an occupational task”.\n2']","Users interested in running might ask ChatGPT for the Boston Marathon qualifying times by age and gender, which falls under the category of Seeking Information.",single_hop_specific_query_synthesizer
How does the work of Caplin et al. relate to the economic value provided by ChatGPT?,"['Doing, and that Asking messages are consistently rated as having higher quality both by a classifier\nthat measures user satisfaction and from direct user feedback.\nHow does ChatGPT provide economic value, and for whom is its value the greatest? We argue that\nChatGPT likely improves worker output by providing decision support, which is especially important in\nknowledge-intensive jobs where better decision-making increases productivity (Deming, 2021; Caplin et\nal., 2023). This explains why Asking is relatively more common for educated users who are employed\nin highly-paid, professional occupations.\nOur findings are most consistent with Ide and Talamas\n(2025), who develop a model where AI agents can serve either as co-workers that produce output or\nas co-pilots that give advice and improve the productivity of human problem-solving.\n2\n']","Caplin et al. (2023) argue that ChatGPT likely improves worker output by providing decision support, which is particularly important in knowledge-intensive jobs where better decision-making increases productivity.",single_hop_specific_query_synthesizer
"How do the ChatGPT message counts reflect the balance between work-related and non-work messages, particularly in the context of writing activities?","['<1-hop>\n\nMonth\nNon-Work (M)\n(%)\nWork (M)\n(%)\nTotal Messages (M)\nJun 2024\n238\n53%\n213\n47%\n451\nJun 2025\n1,911\n73%\n716\n27%\n2,627\n Table 1: ChatGPT daily message counts (millions), broken down by likely work-related or non-work-related.\nTotal daily counts are exact measurements of message volume from all consumer plans. Daily counts of work\nand non-work related messages are estimated by classifying a random sample of conversations from that day.\nSampling is done to exclude users who opt-out of sharing their messages for model training, users who self-\nreport their age as under 18, logged-out users, deleted conversations, and accounts which have been deactivated\nor banned (details available in Section 3). Reported values are 7-day averages (to smooth weekly fluctuation)\nending on the 26th of June 2024 and 26th of June 2025.\nmessages have grown continuously, but non-work messages have grown faster and now represent more\nthan 70% of all consumer ChatGPT messages. While most economic analysis of AI has focused on its\nimpact on productivity in paid work, the impact on activity outside of work (home production) is on a\nsimilar scale and possibly larger. The decrease in the share of work-related messages is primarily due to\nchanging usage within each cohort of users rather than a change in the composition of new ChatGPT\nusers. This finding is consistent with Collis and Brynjolfsson (2025), who use choice experiments to\nuncover willingness-to-pay for generative AI and estimate a consumer surplus of at least $97 billion\nin 2024 alone in the US.\nWe next report on a classification of messages using a taxonomy developed at OpenAI for un-\nderstanding product usage (“conversation classifier”). Nearly 80% of all ChatGPT usage falls into\nthree broad categories, which we call  Practical Guidance,  Seeking Information, and ', '<2-hop>\n\nWriting. Practical\nGuidance is the most common use case and includes activities like tutoring and teaching, how-to\nadvice about a variety of topics, and creative ideation.7 Seeking Information includes searching for\ninformation about people, current events, products, and recipes, and appears to be a very close sub-\nstitute for web search. Writing includes the automated production of emails, documents and other\ncommunications, but also editing, critiquing, summarizing, and translating text provided by the user.\nWriting is the most common use case at work, accounting for 40% of work-related messages on average\nin June 2025. About two-thirds of all Writing messages ask ChatGPT to modify user text (editing,\ncritiquing, translating, etc.) rather than creating new text from scratch. About 10% of all messages\nare requests for tutoring or teaching, suggesting that education is a key use case for ChatGPT.\nTwo of our findings stand in contrast to other work. First, we find the share of messages related\nto computer coding is relatively small: only 4.2% of ChatGPT messages are related to computer\nprogramming, compared to 33% of work-related Claude conversations Handa et al. (2025).8 Second, we\nfind the share of messages related to companionship or social-emotional issues is fairly small: only 1.9%\nof ChatGPT messages are on the topic of Relationships and Personal Reflection and 0.4% are related\n7The difference between Practical Guidance and Seeking Information is that the former is highly customized to the\nuser and can be adapted based on conversation and follow-up, whereas the latter is factual information that should be\nthe same for all users. For example, users interested in running might ask ChatGPT for the Boston Marathon qualifying\ntimes by age and gender (Seeking Information), or they might ask for a customized workout plan that matches their\ngoals and current level of fitness (Practical Guidance).\n8Handa et al. (2025) report that 37% of conversations are mapped to a “computer and mathematical” occupation\ncategory, and their Figure 12 shows 30% or more of all imputed tasks are programming or IT-related. We believe the\ndiscrepancy is partly due to the difference in types of users between Claude and ChatGPT, additionally Handa et al.\n(2025) only includes queries that ”possibly involve an occupational task”.\n2']","The ChatGPT message counts indicate a significant shift towards non-work messages, which represented over 70% of all consumer messages by June 2025. In contrast, work-related messages accounted for only 27% of the total. Writing activities, which include the automated production of emails, documents, and other communications, were the most common use case at work, making up 40% of work-related messages on average in June 2025. This suggests that while non-work messages have grown rapidly, writing remains a crucial function for users engaging with ChatGPT in a work context.",multi_hop_abstract_query_synthesizer
"What are the ChatGPT message counts for work and non-work messages in June 2025, and how does writing fit into these categories?","['<1-hop>\n\nMonth\nNon-Work (M)\n(%)\nWork (M)\n(%)\nTotal Messages (M)\nJun 2024\n238\n53%\n213\n47%\n451\nJun 2025\n1,911\n73%\n716\n27%\n2,627\n Table 1: ChatGPT daily message counts (millions), broken down by likely work-related or non-work-related.\nTotal daily counts are exact measurements of message volume from all consumer plans. Daily counts of work\nand non-work related messages are estimated by classifying a random sample of conversations from that day.\nSampling is done to exclude users who opt-out of sharing their messages for model training, users who self-\nreport their age as under 18, logged-out users, deleted conversations, and accounts which have been deactivated\nor banned (details available in Section 3). Reported values are 7-day averages (to smooth weekly fluctuation)\nending on the 26th of June 2024 and 26th of June 2025.\nmessages have grown continuously, but non-work messages have grown faster and now represent more\nthan 70% of all consumer ChatGPT messages. While most economic analysis of AI has focused on its\nimpact on productivity in paid work, the impact on activity outside of work (home production) is on a\nsimilar scale and possibly larger. The decrease in the share of work-related messages is primarily due to\nchanging usage within each cohort of users rather than a change in the composition of new ChatGPT\nusers. This finding is consistent with Collis and Brynjolfsson (2025), who use choice experiments to\nuncover willingness-to-pay for generative AI and estimate a consumer surplus of at least $97 billion\nin 2024 alone in the US.\nWe next report on a classification of messages using a taxonomy developed at OpenAI for un-\nderstanding product usage (“conversation classifier”). Nearly 80% of all ChatGPT usage falls into\nthree broad categories, which we call  Practical Guidance,  Seeking Information, and ', '<2-hop>\n\nWriting. Practical\nGuidance is the most common use case and includes activities like tutoring and teaching, how-to\nadvice about a variety of topics, and creative ideation.7 Seeking Information includes searching for\ninformation about people, current events, products, and recipes, and appears to be a very close sub-\nstitute for web search. Writing includes the automated production of emails, documents and other\ncommunications, but also editing, critiquing, summarizing, and translating text provided by the user.\nWriting is the most common use case at work, accounting for 40% of work-related messages on average\nin June 2025. About two-thirds of all Writing messages ask ChatGPT to modify user text (editing,\ncritiquing, translating, etc.) rather than creating new text from scratch. About 10% of all messages\nare requests for tutoring or teaching, suggesting that education is a key use case for ChatGPT.\nTwo of our findings stand in contrast to other work. First, we find the share of messages related\nto computer coding is relatively small: only 4.2% of ChatGPT messages are related to computer\nprogramming, compared to 33% of work-related Claude conversations Handa et al. (2025).8 Second, we\nfind the share of messages related to companionship or social-emotional issues is fairly small: only 1.9%\nof ChatGPT messages are on the topic of Relationships and Personal Reflection and 0.4% are related\n7The difference between Practical Guidance and Seeking Information is that the former is highly customized to the\nuser and can be adapted based on conversation and follow-up, whereas the latter is factual information that should be\nthe same for all users. For example, users interested in running might ask ChatGPT for the Boston Marathon qualifying\ntimes by age and gender (Seeking Information), or they might ask for a customized workout plan that matches their\ngoals and current level of fitness (Practical Guidance).\n8Handa et al. (2025) report that 37% of conversations are mapped to a “computer and mathematical” occupation\ncategory, and their Figure 12 shows 30% or more of all imputed tasks are programming or IT-related. We believe the\ndiscrepancy is partly due to the difference in types of users between Claude and ChatGPT, additionally Handa et al.\n(2025) only includes queries that ”possibly involve an occupational task”.\n2']","In June 2025, the ChatGPT message counts showed that there were 1,911 million non-work messages, accounting for 73% of total messages, while work messages totaled 716 million, making up 27%. Writing is a significant aspect of work-related messages, representing 40% of them on average. This includes activities such as editing, critiquing, and summarizing text, with about two-thirds of writing messages focused on modifying user text rather than creating new content.",multi_hop_abstract_query_synthesizer
How does ChatGPT protect user privacy while analyzing messages sent by users?,"['<1-hop>\n\nIntroduction\nChatGPT launched in November 2022. By July 2025, 18 billion messages were being sent each week\nby 700 million users, representing around 10% of the global adult population.1 For a new technology,\nthis speed of global diffusion has no precedent (Bick et al., 2024).\nThis paper studies consumer usage of ChatGPT, the first mass-market chatbot and likely the\nlargest.2 ChatGPT is based on a Large Language Model (LLM), a type of Artificial Intelligence (AI)\ndeveloped over the last decade and generally considered to represent an acceleration in AI capabilities.3\nThe sudden growth in LLM abilities and adoption has intensified interest in the effects of artificial\nintelligence on economic growth (Acemoglu, 2024; Korinek and Suh, 2024); employment (Eloundou\net al., 2025); and society (Kulveit et al., 2025). However, despite the rapid adoption of LLMs, there\nis limited public information on how they are used. A number of surveys have measured self-reported\nadoption of LLMs (Bick et al., 2024; Pew Research Center, 2025); however there are reasons to expect\nbias in self-reports (Ling and Imas, 2025), and none of these papers have been able to directly track\nthe quantity or nature of chatbot conversations.\nTwo recent papers do report statistics on chatbot conversations, classified in a variety of ways\n(Handa et al., 2025; Tomlinson et al., 2025). We build on this work in several respects. First, the pool\nof users on ChatGPT is far larger, meaning we expect our data to be a closer approximation to the\naverage chatbot user.4 Second, we use automated classifiers to report on the types of messages that\nusers send using new classification taxonomies relative to the existing literature. Third, we report the\ndiffusion of chatbot use across populations and the growth of different types of usage within cohorts.\nFourth, we use a secure data clean room protocol to analyze aggregated employment and education\ncategories for a sample of our users, lending new insights about differences in the types of messages\nsent by different groups while protecting user privacy.\nOur primary sample is a random selection of messages sent to ChatGPT on consumer plans (Free,\nPlus, Pro) between May 2024 and June 2025.5\nMessages from the user to chatbot are classified\nautomatically using a number of different taxonomies: whether the message is used for paid work,\nthe topic of conversation, and the type of interaction (asking, doing, or expressing), and the O*NET\ntask the user is performing. Each taxonomy is defined in a prompt passed to an LLM, allowing us to\nclassify messages without any human seeing them. We give the text of most prompts in Appendix A\nalong with details about how the prompts were validated in Appendix B.6 The classification pipeline is\nprotected by a series of privacy measures, detailed below, to ensure no leakage of sensitive information\nduring the automated analysis. In a secure data clean room, we relate taxonomies of messages to\naggregated employment and education categories.\nTable 1 shows the growth in total message volume for work and non-work usage. Both types of\n1Reuters (2025), Roth (2025)\n2Bick et al. (2024) report that 28% of US adults used ChatGPT in late 2024, higher than any other chatbot.\n3We use the term LLM loosely here and give more details in the following section.\n4Wiggers (2025) reports estimates that in April 2025 ChatGPT was receiving more than 10 times as many visitors\nas either Claude or Copilot.\n5Our sample includes the three consumer plans (Free, Plus, or Pro). OpenAI also offers a variety of other ChatGPT\nplans (Business fka. Teams, Enterprise, Education), which we do not include in our sample.\n6Our classifiers take into account not just the randomly-selected user message, but also a portion of the preceding\nmessages in that conversation.\n1']",ChatGPT protects user privacy during the analysis of messages by using a secure data clean room protocol. This approach ensures that no sensitive information is leaked during the automated classification of messages. The classification pipeline is designed with a series of privacy measures to maintain the confidentiality of user data while still allowing for insights into the types of messages sent by different groups.,multi_hop_abstract_query_synthesizer
"What are the ChatGPT message counts for writing-related tasks in June 2025, and how do they compare to non-work messages?","['<1-hop>\n\nMonth\nNon-Work (M)\n(%)\nWork (M)\n(%)\nTotal Messages (M)\nJun 2024\n238\n53%\n213\n47%\n451\nJun 2025\n1,911\n73%\n716\n27%\n2,627\n Table 1: ChatGPT daily message counts (millions), broken down by likely work-related or non-work-related.\nTotal daily counts are exact measurements of message volume from all consumer plans. Daily counts of work\nand non-work related messages are estimated by classifying a random sample of conversations from that day.\nSampling is done to exclude users who opt-out of sharing their messages for model training, users who self-\nreport their age as under 18, logged-out users, deleted conversations, and accounts which have been deactivated\nor banned (details available in Section 3). Reported values are 7-day averages (to smooth weekly fluctuation)\nending on the 26th of June 2024 and 26th of June 2025.\nmessages have grown continuously, but non-work messages have grown faster and now represent more\nthan 70% of all consumer ChatGPT messages. While most economic analysis of AI has focused on its\nimpact on productivity in paid work, the impact on activity outside of work (home production) is on a\nsimilar scale and possibly larger. The decrease in the share of work-related messages is primarily due to\nchanging usage within each cohort of users rather than a change in the composition of new ChatGPT\nusers. This finding is consistent with Collis and Brynjolfsson (2025), who use choice experiments to\nuncover willingness-to-pay for generative AI and estimate a consumer surplus of at least $97 billion\nin 2024 alone in the US.\nWe next report on a classification of messages using a taxonomy developed at OpenAI for un-\nderstanding product usage (“conversation classifier”). Nearly 80% of all ChatGPT usage falls into\nthree broad categories, which we call  Practical Guidance,  Seeking Information, and ', '<2-hop>\n\nWriting. Practical\nGuidance is the most common use case and includes activities like tutoring and teaching, how-to\nadvice about a variety of topics, and creative ideation.7 Seeking Information includes searching for\ninformation about people, current events, products, and recipes, and appears to be a very close sub-\nstitute for web search. Writing includes the automated production of emails, documents and other\ncommunications, but also editing, critiquing, summarizing, and translating text provided by the user.\nWriting is the most common use case at work, accounting for 40% of work-related messages on average\nin June 2025. About two-thirds of all Writing messages ask ChatGPT to modify user text (editing,\ncritiquing, translating, etc.) rather than creating new text from scratch. About 10% of all messages\nare requests for tutoring or teaching, suggesting that education is a key use case for ChatGPT.\nTwo of our findings stand in contrast to other work. First, we find the share of messages related\nto computer coding is relatively small: only 4.2% of ChatGPT messages are related to computer\nprogramming, compared to 33% of work-related Claude conversations Handa et al. (2025).8 Second, we\nfind the share of messages related to companionship or social-emotional issues is fairly small: only 1.9%\nof ChatGPT messages are on the topic of Relationships and Personal Reflection and 0.4% are related\n7The difference between Practical Guidance and Seeking Information is that the former is highly customized to the\nuser and can be adapted based on conversation and follow-up, whereas the latter is factual information that should be\nthe same for all users. For example, users interested in running might ask ChatGPT for the Boston Marathon qualifying\ntimes by age and gender (Seeking Information), or they might ask for a customized workout plan that matches their\ngoals and current level of fitness (Practical Guidance).\n8Handa et al. (2025) report that 37% of conversations are mapped to a “computer and mathematical” occupation\ncategory, and their Figure 12 shows 30% or more of all imputed tasks are programming or IT-related. We believe the\ndiscrepancy is partly due to the difference in types of users between Claude and ChatGPT, additionally Handa et al.\n(2025) only includes queries that ”possibly involve an occupational task”.\n2']","In June 2025, the total ChatGPT message counts were 2,627 million, with work-related messages accounting for 716 million (27%) and non-work messages making up 1,911 million (73%). Writing tasks were the most common use case at work, representing 40% of work-related messages on average. This indicates that while writing is a significant part of work-related usage, non-work messages have grown faster and now dominate the overall message counts.",multi_hop_abstract_query_synthesizer
"How has the usage of ChatGPT evolved in terms of work-related and non-work-related messages, and what role does OpenAI play in ensuring data privacy during this analysis?","['<1-hop>\n\nMonth\nNon-Work (M)\n(%)\nWork (M)\n(%)\nTotal Messages (M)\nJun 2024\n238\n53%\n213\n47%\n451\nJun 2025\n1,911\n73%\n716\n27%\n2,627\n Table 1: ChatGPT daily message counts (millions), broken down by likely work-related or non-work-related.\nTotal daily counts are exact measurements of message volume from all consumer plans. Daily counts of work\nand non-work related messages are estimated by classifying a random sample of conversations from that day.\nSampling is done to exclude users who opt-out of sharing their messages for model training, users who self-\nreport their age as under 18, logged-out users, deleted conversations, and accounts which have been deactivated\nor banned (details available in Section 3). Reported values are 7-day averages (to smooth weekly fluctuation)\nending on the 26th of June 2024 and 26th of June 2025.\nmessages have grown continuously, but non-work messages have grown faster and now represent more\nthan 70% of all consumer ChatGPT messages. While most economic analysis of AI has focused on its\nimpact on productivity in paid work, the impact on activity outside of work (home production) is on a\nsimilar scale and possibly larger. The decrease in the share of work-related messages is primarily due to\nchanging usage within each cohort of users rather than a change in the composition of new ChatGPT\nusers. This finding is consistent with Collis and Brynjolfsson (2025), who use choice experiments to\nuncover willingness-to-pay for generative AI and estimate a consumer surplus of at least $97 billion\nin 2024 alone in the US.\nWe next report on a classification of messages using a taxonomy developed at OpenAI for un-\nderstanding product usage (“conversation classifier”). Nearly 80% of all ChatGPT usage falls into\nthree broad categories, which we call  Practical Guidance,  Seeking Information, and ', '<2-hop>\n\nLambert et al. (2024)). This second stage also typically includes a number of “safety” constraints to\navoid certain classes of response, especially those which are deemed harmful or dangerous (OpenAI,\n2025a).\nThis two-stage process has a common statistical interpretation: the first stage teaches the model a\nlatent representation of the world; the second stage fits a function using that representation (Bengio\net al., 2014). Pre-training the model to predict the next word effectively teaches the model a low-\ndimensional representation of text, representing only the key semantic features, and therefore rendering\nthe prompt-response problem tractable with a reasonable set of training examples.\nTwo common ways of evaluating chatbots are with benchmarks (batteries of questions with known\nanswers, e.g. Measuring Massive Multitask Language Understanding (Hendrycks et al., 2021)) and\ncomparisons of human preferences over two alternative responses to the same message (e.g. Chatbot\nArena (Chiang et al., 2024)).\n3\n Data and Privacy\nIn this section, we describe the data used in the paper and the privacy safeguards we implemented. No\nmember of the research team ever saw the content of user messages, and all analyses were conducted\nin accordance with OpenAI’s Privacy Policy (OpenAI, 2025c).\nThe analysis in this paper is based on the following datasets:\n1. Growth: total daily message volumes from consumer ChatGPT users between November 2022\nand September 2025, along with basic self-reported demographic information. This dataset is\nprimarily used in Section 4.\n2. Classified messages: messages classified into coarse categories.\n• Sampled from all ChatGPT users: a random sample of approximately one million de-\nidentified messages from logged-in consumer ChatGPT users between May 2024 and June\n2025.14 This dataset is primarily used in Section 5.\n• Sampled from a subset of ChatGPT users: two random samples of messages sent\nbetween May 2024 and July 2025 by a subset of consumer ChatGPT users (one sample at\nthe conversation level, one sample at the user level).15 These datasets are primarily used\nin Section 6.\n3. Employment: aggregated employment and education categories based on publicly available\ndata for a subset of consumer ChatGPT users. This data is only used in Section 6.\nWe describe the contents of each dataset, the sampling procedures that produced them, and the\nprivacy protections we implemented in constructing and employing them in analysis.\n3.1\n']","The usage of ChatGPT has evolved significantly, with non-work-related messages growing faster and now representing more than 70% of all consumer messages. In June 2024, non-work messages accounted for 53% of total messages, while by June 2025, this figure rose to 73%. This shift indicates a changing usage pattern among ChatGPT users rather than a change in the composition of new users. OpenAI plays a crucial role in ensuring data privacy during this analysis, as no member of the research team ever saw the content of user messages, and all analyses were conducted in accordance with OpenAI’s Privacy Policy. The analysis is based on datasets that include total daily message volumes and classified messages, ensuring that user privacy is maintained throughout the research process.",multi_hop_specific_query_synthesizer
"What significant milestones in the usage of ChatGPT were observed by July 2025, and how do these reflect on the broader implications of AI on economic growth and employment?","['<1-hop>\n\nIntroduction\nChatGPT launched in November 2022. By July 2025, 18 billion messages were being sent each week\nby 700 million users, representing around 10% of the global adult population.1 For a new technology,\nthis speed of global diffusion has no precedent (Bick et al., 2024).\nThis paper studies consumer usage of ChatGPT, the first mass-market chatbot and likely the\nlargest.2 ChatGPT is based on a Large Language Model (LLM), a type of Artificial Intelligence (AI)\ndeveloped over the last decade and generally considered to represent an acceleration in AI capabilities.3\nThe sudden growth in LLM abilities and adoption has intensified interest in the effects of artificial\nintelligence on economic growth (Acemoglu, 2024; Korinek and Suh, 2024); employment (Eloundou\net al., 2025); and society (Kulveit et al., 2025). However, despite the rapid adoption of LLMs, there\nis limited public information on how they are used. A number of surveys have measured self-reported\nadoption of LLMs (Bick et al., 2024; Pew Research Center, 2025); however there are reasons to expect\nbias in self-reports (Ling and Imas, 2025), and none of these papers have been able to directly track\nthe quantity or nature of chatbot conversations.\nTwo recent papers do report statistics on chatbot conversations, classified in a variety of ways\n(Handa et al., 2025; Tomlinson et al., 2025). We build on this work in several respects. First, the pool\nof users on ChatGPT is far larger, meaning we expect our data to be a closer approximation to the\naverage chatbot user.4 Second, we use automated classifiers to report on the types of messages that\nusers send using new classification taxonomies relative to the existing literature. Third, we report the\ndiffusion of chatbot use across populations and the growth of different types of usage within cohorts.\nFourth, we use a secure data clean room protocol to analyze aggregated employment and education\ncategories for a sample of our users, lending new insights about differences in the types of messages\nsent by different groups while protecting user privacy.\nOur primary sample is a random selection of messages sent to ChatGPT on consumer plans (Free,\nPlus, Pro) between May 2024 and June 2025.5\nMessages from the user to chatbot are classified\nautomatically using a number of different taxonomies: whether the message is used for paid work,\nthe topic of conversation, and the type of interaction (asking, doing, or expressing), and the O*NET\ntask the user is performing. Each taxonomy is defined in a prompt passed to an LLM, allowing us to\nclassify messages without any human seeing them. We give the text of most prompts in Appendix A\nalong with details about how the prompts were validated in Appendix B.6 The classification pipeline is\nprotected by a series of privacy measures, detailed below, to ensure no leakage of sensitive information\nduring the automated analysis. In a secure data clean room, we relate taxonomies of messages to\naggregated employment and education categories.\nTable 1 shows the growth in total message volume for work and non-work usage. Both types of\n1Reuters (2025), Roth (2025)\n2Bick et al. (2024) report that 28% of US adults used ChatGPT in late 2024, higher than any other chatbot.\n3We use the term LLM loosely here and give more details in the following section.\n4Wiggers (2025) reports estimates that in April 2025 ChatGPT was receiving more than 10 times as many visitors\nas either Claude or Copilot.\n5Our sample includes the three consumer plans (Free, Plus, or Pro). OpenAI also offers a variety of other ChatGPT\nplans (Business fka. Teams, Enterprise, Education), which we do not include in our sample.\n6Our classifiers take into account not just the randomly-selected user message, but also a portion of the preceding\nmessages in that conversation.\n1']","By July 2025, ChatGPT had reached a remarkable milestone of 18 billion messages sent each week by 700 million users, which accounted for approximately 10% of the global adult population. This unprecedented speed of global diffusion highlights the rapid adoption of Large Language Models (LLMs) like ChatGPT. The sudden growth in LLM capabilities and their widespread use has intensified interest in understanding the effects of artificial intelligence on economic growth and employment. Studies have begun to explore these implications, indicating that while LLMs are transforming productivity and decision-making, there are also concerns regarding their impact on job markets and societal structures.",multi_hop_specific_query_synthesizer
